scenario,scenario_id,used_bev,used_ice,bev_trips,ice_trips,served_trips,unserved_trips,day_ahead_selected_candidate_cost_jpy,rolling_model_evaluation_jpy,rolling_minus_day_ahead_jpy,fuel_liters,grid_import_kwh,pv_generated_kwh,pv_to_bus_kwh,pv_to_bess_kwh,bess_to_bus_kwh,pv_curtailed_kwh,peak_grid_kw,minimum_recorded_bev_soc_kwh_including_initial_state,minimum_recorded_bev_soc_scope,stage1_certified_gap_percent,solve_time_seconds,rolling_steps,physical_validation,accounting_reconciliation
SUNNY,771d115b-75b0-49f7-a7f0-25f259a2cd21,28,4,199,65,264,0,660983.783804500243,660983.783804500243,0,137.521124115044,0,6056.25,110.051799206338,2572.977431361949,2322.11213180417,3373.220769431714,0,68.91,全BEVの初期状態を含む正本集計値。使用BEVの運行中安全余裕ではない,9.521347575598,380.982322296768,24/24,VALID,OK
RAIN,b23fd26c-1233-4c73-bb9e-bdb8b1584760,21,11,91,173,264,0,698296.46528395405,698598.628643160569,302.163359206519,357.881338716814,130.851943319913,996.2,230.567725625245,765.632274374755,690.983127623215,0,122.301665692718,68.91,全BEVの初期状態を含む正本集計値。使用BEVの運行中安全余裕ではない,1.656358088352,380.018798073055,24/24,VALID,OK
