scenario,powertrain,trips,used_vehicles,service_distance_km,service_minutes,trip_share,service_distance_share,service_time_share,trips_per_used_vehicle,service_km_per_used_vehicle
SUNNY,BEV,199,28,1555.041435,7963,0.7537878787878788,0.7277645756741352,0.7243041659086774,7.107142857142857,55.53719410714286
SUNNY,ICE,65,4,581.6954810000001,3031,0.24621212121212122,0.272235424325865,0.27569583409132253,16.25,145.42387025000002
RAIN,BEV,91,21,635.213265,3213,0.3446969696969697,0.2972819256519084,0.2922503183554666,4.333333333333333,30.248250714285714
RAIN,ICE,173,11,1501.523651,7781,0.6553030303030303,0.7027180743480916,0.7077496816445333,15.727272727272727,136.50215009090908
