timestamp,run_id,config_path,n_vehicles,n_vehicles_bev,n_vehicles_ice,n_tasks,n_chargers,n_sites,n_periods,delta_t_hour,method,mode,solver_status,milp_time_limit_sec,milp_mip_gap_setting,milp_mip_gap_actual,milp_flags,alns_max_iterations,alns_max_no_improve,alns_init_temp,alns_cooling_rate,alns_destroy_ratio_min,alns_destroy_ratio_max,alns_iterations_executed,total_time_sec,alns_time_sec,milp_time_sec,objective_value,total_operating_cost,electricity_cost,demand_charge_cost,fuel_cost,degradation_cost,deadhead_cost,unserved_penalty,served_task_ratio,n_unserved_tasks,total_grid_kwh,total_pv_kwh,pv_self_consumption_ratio,peak_demand_kw,total_co2_kg,soc_min_kwh,n_soc_violations,vehicle_utilization,charger_utilization,n_vehicles_used,enable_pv,enable_v2g,enable_demand_charge,enable_battery_degradation,notes
2026-03-16T15:31:10.327315,run_20260316_153110,config\cases\meguro_small.json,3,3,0,225,2,6,80,0.25,MILP,mode_A_journey_charge,OPTIMAL,0.0,0.0,0.0,"{""assignment"": false, ""soc"": true, ""charging"": true, ""charger_capacity"": true, ""energy_balance"": true, ""pv_grid"": false, ""battery_degradation"": false, ""v2g"": false, ""demand_charge"": false}",0,0,0.0,0.0,0.0,0.0,0,0.951906100002816,0.0,0.004082899977220222,15000.0,127500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2889,160,0.0,0.0,0.0,0.0,0.0,159.734,0,"{'BEV_01': 0.9125, 'BEV_02': 0.9, 'BEV_03': 0.8875}","{'CHG_01': 0.0, 'CHG_02': 0.0}",3,False,False,True,False,auto-log from pipeline/solve.py mode=mode_A_journey_charge
2026-03-16T15:36:57.685188,run_20260316_153657,config\cases\meguro_small.json,3,3,0,225,2,6,80,0.25,MILP,mode_A_journey_charge,OPTIMAL,0.0,0.0,0.0,"{""assignment"": false, ""soc"": true, ""charging"": true, ""charger_capacity"": true, ""energy_balance"": true, ""pv_grid"": false, ""battery_degradation"": false, ""v2g"": false, ""demand_charge"": false}",0,0,0.0,0.0,0.0,0.0,0,0.3686907999799587,0.0,0.0038818000175524503,15000.0,127500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2889,160,0.0,0.0,0.0,0.0,0.0,159.734,0,"{'BEV_01': 0.9125, 'BEV_02': 0.9, 'BEV_03': 0.8875}","{'CHG_01': 0.0, 'CHG_02': 0.0}",3,False,False,True,False,auto-log from pipeline/solve.py mode=mode_A_journey_charge
2026-03-16T15:43:31.776998,run_20260316_154331,config\cases\meguro_small.json,3,3,0,225,2,6,80,0.25,MILP,mode_A_journey_charge,OPTIMAL,0.0,0.0,0.0,"{""assignment"": false, ""soc"": true, ""charging"": true, ""charger_capacity"": true, ""energy_balance"": true, ""pv_grid"": false, ""battery_degradation"": false, ""v2g"": false, ""demand_charge"": false}",0,0,0.0,0.0,0.0,0.0,0,0.6558658000139985,0.0,0.0038539000088348985,15000.0,127500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2889,160,0.0,0.0,0.0,0.0,0.0,159.734,0,"{'BEV_01': 0.9125, 'BEV_02': 0.9, 'BEV_03': 0.8875}","{'CHG_01': 0.0, 'CHG_02': 0.0}",3,False,False,True,False,auto-log from pipeline/solve.py mode=mode_A_journey_charge
2026-03-16T15:47:12.684578,run_20260316_154712,config\cases\meguro_small.json,3,3,0,225,2,6,80,0.25,MILP,mode_A_journey_charge,OPTIMAL,0.0,0.0,0.0,"{""assignment"": false, ""soc"": true, ""charging"": true, ""charger_capacity"": true, ""energy_balance"": true, ""pv_grid"": false, ""battery_degradation"": false, ""v2g"": false, ""demand_charge"": false}",0,0,0.0,0.0,0.0,0.0,0,0.1382926999940537,0.0,0.003984399983892217,15000.0,127500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2889,160,0.0,0.0,0.0,0.0,0.0,159.734,0,"{'BEV_01': 0.9125, 'BEV_02': 0.9, 'BEV_03': 0.8875}","{'CHG_01': 0.0, 'CHG_02': 0.0}",3,False,False,True,False,auto-log from pipeline/solve.py mode=mode_A_journey_charge
